Date,Platform,Followers,Likes,Shares,Comments,EngagementRate
2025-01-01,Facebook,1660,320,76,25,0.08
2025-01-01,Twitter,1266,264,79,15,0.22
2025-01-01,Instagram,3971,409,28,7,0.05
2025-01-02,Facebook,1569,393,34,42,0.05
2025-01-02,Twitter,1984,363,26,48,0.05
2025-01-02,Instagram,1274,108,46,32,0.24
2025-01-03,Facebook,2606,239,66,48,0.15
2025-01-03,Twitter,2328,180,55,11,0.08
2025-01-03,Instagram,3235,138,64,18,0.21
2025-01-04,Facebook,3624,395,57,6,0.19
2025-01-04,Twitter,2278,477,12,39,0.23
2025-01-04,Instagram,2755,99,8,6,0.14
2025-01-05,Facebook,3413,155,8,33,0.24
2025-01-05,Twitter,961,251,66,40,0.17
2025-01-05,Instagram,4142,264,66,44,0.22
2025-01-06,Facebook,1137,416,57,28,0.12
2025-01-06,Twitter,1179,90,33,19,0.08
2025-01-06,Instagram,3368,393,5,48,0.11
2025-01-07,Facebook,1191,212,39,37,0.17
2025-01-07,Twitter,4361,280,45,32,0.22
2025-01-07,Instagram,3904,97,27,28,0.18
2025-01-08,Facebook,3531,409,90,31,0.16
2025-01-08,Twitter,3490,306,9,30,0.1
2025-01-08,Instagram,1670,332,13,19,0.14
2025-01-09,Facebook,2284,228,67,36,0.18
2025-01-09,Twitter,1363,145,8,34,0.08
2025-01-09,Instagram,2478,220,33,40,0.24
2025-01-10,Facebook,2522,292,90,32,0.24
2025-01-10,Twitter,2397,490,10,32,0.21
2025-01-10,Instagram,4427,389,34,15,0.11
2025-01-11,Facebook,2838,397,93,43,0.23
2025-01-11,Twitter,2106,495,81,45,0.11
2025-01-11,Instagram,1509,460,13,41,0.19
2025-01-12,Facebook,1463,364,36,36,0.16
2025-01-12,Twitter,4563,162,66,16,0.1
2025-01-12,Instagram,4257,436,60,21,0.1
2025-01-13,Facebook,4897,179,96,27,0.11
2025-01-13,Twitter,4274,175,6,48,0.14
2025-01-13,Instagram,2533,465,72,15,0.12
2025-01-14,Facebook,1566,343,28,9,0.18
2025-01-14,Twitter,997,444,20,37,0.08
2025-01-14,Instagram,4197,398,7,24,0.12
2025-01-15,Facebook,2169,196,24,36,0.07
2025-01-15,Twitter,1288,466,44,43,0.24
2025-01-15,Instagram,2602,490,93,27,0.16
2025-01-16,Facebook,4169,148,11,20,0.21
2025-01-16,Twitter,1816,109,6,5,0.07
2025-01-16,Instagram,4523,86,36,13,0.11
2025-01-17,Facebook,2482,353,84,7,0.22
2025-01-17,Twitter,3991,210,28,15,0.24
2025-01-17,Instagram,2245,153,88,39,0.12
2025-01-18,Facebook,898,202,97,22,0.08
2025-01-18,Twitter,4577,359,39,20,0.25
2025-01-18,Instagram,4867,210,72,37,0.15
2025-01-19,Facebook,4787,433,12,11,0.19
2025-01-19,Twitter,3904,225,80,26,0.1
2025-01-19,Instagram,2493,87,55,12,0.18
2025-01-20,Facebook,1025,326,34,37,0.17
2025-01-20,Twitter,1759,366,52,23,0.16
2025-01-20,Instagram,3920,66,48,32,0.14
2025-01-21,Facebook,1869,422,10,39,0.2
2025-01-21,Twitter,1860,329,97,35,0.24
2025-01-21,Instagram,1939,240,89,36,0.22
2025-01-22,Facebook,4127,372,22,29,0.13
2025-01-22,Twitter,1369,372,50,28,0.09
2025-01-22,Instagram,4814,391,27,6,0.1
2025-01-23,Facebook,3337,435,94,21,0.22
2025-01-23,Twitter,3606,75,54,29,0.17
2025-01-23,Instagram,3750,362,40,49,0.09
2025-01-24,Facebook,4647,449,18,16,0.23
2025-01-24,Twitter,1966,141,70,36,0.17
2025-01-24,Instagram,1653,100,29,26,0.17
2025-01-25,Facebook,2515,219,74,19,0.12
2025-01-25,Twitter,3291,150,12,48,0.24
2025-01-25,Instagram,1676,421,98,39,0.18
2025-01-26,Facebook,1435,155,34,23,0.21
2025-01-26,Twitter,1630,324,96,30,0.06
2025-01-26,Instagram,916,367,27,13,0.19
2025-01-27,Facebook,2464,107,5,38,0.1
2025-01-27,Twitter,1359,138,5,20,0.15
